Risk_Description,Impact,Likelihood
"Misconfigured network ACL allowing external access to internal services, enabling potential data theft",4,3
"Server rack overheating due to cooling system failure, forcing emergency shutdown to avoid damage",4,5
"Prolonged power outage from utility grid failure exceeding UPS battery reserves, causing extended downtime",4,3
Compromised admin password reused on multiple systems enabling wide network access for attackers,5,4
Accidental detachment of iSCSI LUNs from hypervisors causing unplanned VM downtime,3,4
"Loss of internet connectivity from DDoS attack saturating upstream bandwidth, impairing external access",3,4
Improper hypervisor patch installation causing unexpected guest VM reboot storms and availability loss,2,4
BIOS-level malware infection allowing persistence after operating system reinstallation,4,2
"Massive log growth filling disk and crashing syslog server, impairing troubleshooting",3,5
Failure of redundant power supply in critical server causing unexpected downtime during replacement,2,3
"Improper SAN zoning preventing server from accessing required LUNs, disrupting operations",3,3
Accidental destruction of archived backup tapes during offsite transport,4,1
Embedded malware in public container image allowing attacker access after deployment,5,3
Improper NTP server configuration causing widespread time desynchronization across network,2,4
Network loop from human error during switchport configuration causing broadcast storms,3,3
Failure of air conditioning system in server room leading to overheating shutdown during hot weather,4,3
Mass credential compromise from reused local admin password enabling lateral movement,5,4
Improper firewall rule allowing SQL injection attack and data theft from public web server,5,3
Accidental corruption of DNS records redirecting traffic to malicious sites for phishing,4,2
Loss of HVAC humidity control causing catastrophic static discharge failure of hardware,4,1
Security patches not applied promptly enabling exploitation of published vulnerabilities,4,5
Undetected hard disk failure corrupting filesystem and causing boot failures,3,3
Network capacity exhaustion from unauthorized Bitcoin mining malware causing availability loss,3,2
Improper router configuration causing loss of network segmentation and expanded blast radius,4,4
Failure to renew trusted TLS certificate causing external users to receive warnings,2,5
Loss of asset tracking from database corruption in IP address management system,2,3
Inadequate DDoS mitigation allowing crippling attack on customer-facing systems,5,3
Compromise of code repository allowing attacker inject malicious code into software build,5,2
Loss of internet connectivity from fiber cut by construction disrupting operations,3,2
Unauthorized cloud storage misconfiguration exposing customer data publicly,5,3
Malicious insider elevating account privileges to steal intellectual property,5,1
Natural disaster destroying data center and forcing failover to alternate site,5,1
Ransomware infiltrated via phishing email encrypting shared drives across the network,5,4
Failure to patch EOL operating systems allowing unmitigated exploitation of vulnerabilities,4,5
Misconfigured database allowing public access to sensitive customer information,5,3
Clickjacking attack hijacking employee browsers to steal login credentials,4,4
Improper access controls on cloud storage exposing backups to unauthorized access,4,3
Vulnerable kernel allowing privilege escalation to root from unpatched container hosts,5,3
"Prolonged power outage at primary data center from severe weather, causing extended downtime and inability to access critical systems",5,4
"Massive DDoS attack saturates network bandwidth, disrupting customer access and ability to conduct business online",4,3
"Accidental deletion of production database by admin without proper backups, leading to permanent data loss and disruption",5,2
"Security vulnerability in web server allows remote code execution, enabling data theft and service hijacking",5,3
Failure of HVAC system at co-location facility leads to overheating of servers and unplanned outage,4,3
"Misconfigured network firewall wrongly blocks legitimate customer traffic, interrupting business operations",3,4
Compromised admin password used to spread malware and ransomware across internal systems and data,5,3
"Natural disaster destroys primary data center with no failover plan, causing prolonged downtime",5,2
Malicious insider with privileged access steals and publicly leaks sensitive customer data,4,2
Unpatched vulnerability in web application enables remote takeover and defacement,3,4
"Cryptocurrency mining malware infects servers, consuming excessive resources and impacting performance",3,3
Improper data encryption allows sensitive financial information to be intercepted,4,3
Phishing attack tricks employees into downloading malware and exposing credentials,4,4
Failure of tape backup system leads to inability to recover from recent data corruption,4,3
Hacked IoT device on corporate network spreads malware and allows lateral movement,3,4
Improper server settings expose confidential files to the public internet,4,3
Compromised third party vendor account used to infiltrate systems and steal data,4,2
Expired TLS certificate causes customer-facing sites to break and disrupt business,2,4
Targeted ransomware attack encrypts critical file shares and databases,5,3
Shared account credentials allow former employee to access systems and cause damage,3,2
Improper data retention policy leads to accidental deletion of historical business data,3,3
Failure to patch known OS vulnerabilities enables wormable exploit across network,5,4
Misconfigured DNS and load balancers cause outage for customer-facing applications,4,3
Compromised employee laptop spreads malware inside network without detection,3,4
Lack of MFA allows attackers to breach cloud admin account and steal data,5,3
Hard drive failure in RAID array without hot spare causes outage during replacement,3,4
Improper access controls enable unauthorized changes and damage to production data,4,3
Outdated operating systems no longer supported or receiving security patches,4,5
Failure to renew TLS certificates causes internal and external sites to break,2,5
Uncontrolled growth of log data fills up disk space and crashes critical systems,4,3
"Improper backup strategy fails to capture recent data changes, enabling data loss",4,3
Weak passwords and lack of 2FA enable attackers to breach employee accounts,4,4
"Unsupported hardware fails and lacks replacement parts, forcing unplanned migration",3,4
Lack of visibility into IaaS cloud usage leads to shadow IT and security risks,3,4
No defined incident response plan causes delays in containment and eradication,3,3
Inadequate capacity planning leads to overloaded systems and performance issues,3,4
Unrestricted internet access enables malware infections and data exfiltration,4,4
Improper server build process results in misconfigurations and vulnerabilities,3,3
Failure to isolate test environments leads to outages when changes are deployed,4,4
Uncontrolled BYOD devices bypass security controls and expose internal network,4,3
Weak access controls to code repositories enable malicious code to be inserted,4,2
Outdated business continuity plans fail to restore critical operations after outage,4,3
Lack of redundancy for critical infrastructure components causes single point of failure,5,3
"No defined change management process results in unauthorized, untested changes",4,4
Unencrypted portable media devices expose confidential data if lost or stolen,3,3
Improper decommissioning process fails to fully wipe sensitive data from old devices,4,2
"Extended power outage at primary data center due to severe weather, causing all systems and services to go offline until power is restored",5,4
"Accidental deletion of critical database by authorized user, requiring restore from the most recent backup and potential data loss",4,2
"Security vulnerability in web application enabling remote code execution by attackers, allowing data theft or service disruption",5,3
"Failure of HVAC system in server room, leading to overheating and unplanned outage of critical systems",3,2
"Malware infection of end user machines due to outdated antivirus definitions, enabling data theft or encryption for ransom",4,3
"Denial of service attack against public-facing web server, disrupting customer access to applications and services",3,4
Misconfiguration of network firewall leading to exposure of critical servers to the public internet,4,2
Insufficient disk space on database server causing disruption of transaction processing and data corruption,3,3
Unplanned hardware failure of SAN storage device leading to inaccessibility of multiple terabytes of business data,5,2
"Compromise of admin credentials due to password reuse on third-party site, enabling attacker access to infrastructure",5,4
"Network capacity exhaustion due to bandwidth-intensive application, degrading performance for other critical apps",3,3
Improper patching of operating systems and software enabling exploit of publicly known vulnerabilities,4,4
"Failure of backup power generators during prolonged utility outage, leading to extended downtime",4,3
"Cryptomining malware infection of servers and workstations, consuming excessive resources and slowing business functions",2,4
Misconfigured network ACL accidentally blocking all external access to public-facing applications,5,1
Improper data encryption enabling unauthorized access and extraction of sensitive information,5,2
"Failure to renew TLS/SSL certificates on external-facing services, leading to interruption of secure access",2,3
Lack of sufficient monitoring leading to extended outages before issues are detected and corrected,3,4
Insufficient IDS/IPS coverage allowing malware delivery to internal endpoints from internet,4,3
Unauthorized internal access to sensitive systems and data due to weak access controls,4,3
Natural disaster destroying primary data center with insufficient failover capacity at secondary site,5,2
"Accidental destruction of backup tapes containing critical business data, making recovery impossible",5,1
Network switch failure interrupting connectivity between critical systems and degrading performance,3,3
Uncontrolled systems sprawl and lack of documentation making maintenance difficult and error-prone,2,4
Weak password policies enabling brute force compromise of accounts with access to sensitive data,4,4
Improper decommissioning of old hardware with sensitive data allowing unauthorized access,3,2
Lack of encryption on laptops leading to catastrophic data breach in case of theft or loss,5,3
Outdated operating systems and software no longer receiving security patches,4,4
Insider theft of intellectual property stored on inadequately protected servers,4,2
Spear phishing attack enabling malware delivery to finance department workstations,4,3
Lack of monitoring of database administrator activities enabling undetected data manipulation,3,2
Excessive retention of log data consuming all storage space and crashing critical applications,2,3
Natural disaster destroying offsite backup location before current data is replicated,5,1
Failure to patch firmware vulnerabilities in network infrastructure devices being exploited,4,3
"Mobile device connecting to network with malware, bypassing perimeter defenses",3,4
Compromise of code repository allowing attackers to inject malicious code into software builds,5,2
Overutilization of critical infrastructure exceeding capacity planning estimates,3,4
Lack of multi-factor authentication enabling compromise of administrative accounts,5,3
"Insider error results in deleting entire database instead of single table, requiring restoration",4,1
Ransomware infiltration through social engineering causes encryption of shared drives,5,3
Improper firewall rule enables SQL injection attack and customer data theft,4,2
"Hard drive failure in RAID array without hot spare forces rebuild, risking data loss",3,3
"Prolonged power outage at primary data center causes extended downtime for critical applications and inability to access data, requiring failover to secondary site",5,2
"Accidental deletion of production database by admin, requiring restore from 3-day old backups and potential data loss",4,1
"Network equipment failure blocks internal and external connectivity, halting business operations until redundant gear can be deployed",5,3
"Improper firewall rule change exposes customer database server to the internet, allowing attackers to steal sensitive information",5,2
"Mass malware infection takes down hundreds of endpoints, disrupting productivity until systems can be rebuilt and data restored from backup",4,4
"Improper access controls allow developer access to production servers, enabling potential data theft or manipulation",3,2
"Unpatched vulnerability in client-facing web server is exploited to install crypto mining malware, consuming excessive resources",2,3
"Failure of environmental monitoring system goes unnoticed, leading to overheating and failure of critical servers",4,1
"Accidental misconfiguration of storage array causes corruption of virtual machine files, requiring restore from backup",3,2
"Lack of disk space causes database server to crash, requiring expansion of storage capacity to recover",2,1
"Cyber attack takes payment processing servers offline during peak sales period, resulting in major revenue loss",5,4
Weak passwords used across infrastructure allows attacker to gain admin access and implant backdoors,4,3
Improper data validation in web application leads to SQL injection attack that exfiltrates customer information,4,2
"Outdated operating systems no longer receive security patches, leaving vulnerabilities open to exploitation",3,4
Insufficient log monitoring prevents early detection of compromised credentials used to access servers,2,3
Failure to renew TLS certificate causes customer-facing websites to go down until certificate can be updated,3,2
Lack of redundancy for core network equipment causes outage during switch failure until replacement can be installed,4,2
"Uncontrolled growth of log files fills up disk space, crashing critical application servers",2,1
"Improper backup configuration omits key databases from rotation, preventing restore after data corruption incident",3,1
"Denial-of-service attack overwhelms public-facing web servers, taking customer portal offline during peak usage",4,3
Improper decommissioning of retired servers leaves sensitive data accessible for unauthorized access,2,1
Natural disaster destroys primary data center with no failover sites provisioned for critical workloads,5,1
Embedded malware in software update gives attacker remote access to deploy ransomware across the network,5,3
Compromised developer workstation used as pivot point to access internal servers housing customer data,4,2
Insufficient capacity planning leads to performance issues during unexpected workload spikes,2,4
Inability to detect intrusion allows attacker to exfiltrate IP and customer data over months before detection,4,1
Failure to encrypt laptop leads to breach of sensitive customer data if device is lost or stolen,3,2
Lack of separation of duties allows single admin to make unauthorized changes across production systems,3,2
Compromised third-party vendor credentials used to gain access and implant backdoors into the network,4,3
Expired remote access accounts allow former employees continued access to internal systems,2,1
Improper asset lifecycle management causes critical hardware to go end-of-life before replacement,2,3
Failure to patch firmware vulnerabilities in network devices allows takeover for lateral movement,3,2
Insufficient identity and access controls enable unauthorized access to sensitive systems,3,4
Lack of physical security controls allows unauthorized physical access to servers,2,1
Improper business continuity planning causes extended outage during power loss to primary data center,4,2
Unrestricted internet access allows malware infection through malicious websites on compromised endpoints,3,4
Improper cloud configuration exposes sensitive data stored in cloud storage buckets,4,1
Compromised IoT devices used as entry point to pivot further into core network segments,3,2
Shared local admin accounts prevent accountability for changes made across IT environment,2,3
Improper onboarding/offboarding controls fail to revoke all access for former employees,2,2
Lack of monitoring on remote access channels enables undetected lateral movement,3,4
Expired TLS certificates prevent access to public websites and disrupt e-commerce transactions,3,2
"Extended power outage at primary data center causes all systems and infrastructure to go offline, leading to prolonged downtime and inability to serve customers",5,4
"Accidental deletion of critical database by admin without proper backups, resulting in permanent data loss and disruption to business operations",5,2
"Network switch failure breaks core network connectivity between servers, causing widespread service outages",4,3
"Unpatched operating system vulnerability is exploited to install ransomware across file servers, encrypting all data until ransom is paid",5,3
"DDoS attack overwhelms public-facing web servers, taking customer portal and applications offline during peak business hours",4,2
"Improper firewall rule allows external attacker access to internal domain controller, enabling credential theft and lateral movement",4,1
"Natural disaster destroys primary data center, requiring failover to secondary site with potential data loss",5,1
Malware infection spreads quickly via unsecured endpoints to backend servers and databases,4,4
"Failure of environmental monitoring system goes unnoticed, leading to overheating and failure of critical hardware",3,2
"Accidental misconfiguration of storage array causes corruption of virtual machine data, requiring restores from backup",3,3
Compromised developer workstation allows attackers to inject malicious code into critical applications,4,2
"Expired TLS certificate causes customer-facing web services to become inaccessible, impacting revenue",2,4
Underprovisioned capacity on cloud infrastructure leads to performance issues and service disruptions,3,3
Uncontrolled EOL software and hardware increases vulnerabilities and fails to meet compliance standards,2,4
Lack of redundancy for internet connectivity causes outage when primary ISP has failure,3,3
Improper access controls on cloud storage bucket exposes sensitive customer data publicly,4,2
Compromised employee credentials used to steal IP and proprietary source code,3,1
Outdated identity and access management system enables former employee to retain access after termination,3,2
Failure to keep operating systems and applications patched and updated increases exploit risk,2,4
Insufficient logging and monitoring allows intrusion to go undetected for extended time,3,2
Weak authentication mechanisms like reused passwords enable credential stuffing attacks,4,3
Improper key management causes data loss when encrypted drive fails and keys are unavailable,4,1
Lack of backup power infrastructure for cooling causes servers to overheat during power loss,3,2
Misconfigured database allows external actor to extract sensitive customer information,4,1
Stolen end user device has unencrypted sensitive corporate data and access credentials,4,2
"Social engineering attack tricks employee into providing VPN credentials, enabling network breach",3,2
Improper segregation of duties allows insider threat with excessive access to cause damage,4,1
Vulnerable legacy operating systems and unpatched applications increase ransomware risk,3,3
Failed security update or patch exposes known vulnerability that is quickly targeted,4,4
Spear phishing attack infects accounting staff with malware that alters financial transactions,4,2
Outage of core network device causes widespread connectivity issues for all services and users,4,2
Storage area network failure impacts multiple critical systems and applications simultaneously,4,1
"Natural disaster destroys primary and secondary data centers with no backups, resulting in total data loss",5,1
Core router failure isolates network segments and blocks traffic between critical systems,3,2
Uncontrolled BYOD devices bypass security controls and expose internal resources to theft and malware,3,3
Embedded malware in vendor software supply chain infects systems after update is applied,4,1
Insider attack results in IP theft and loss of proprietary source code before exfiltration is detected,4,1
Ransomware breach through third party vendor connection impacts multiple internal systems,4,2
Cryptojacking malware in ad network hijacks critical application servers to mine cryptocurrency,3,2
Trusted third party partner exposes sensitive data entrusted to them through misconfiguration,4,1
Malicious actor with stolen credentials escalates privileges silently to export databases,5,1
Extended cloud service outage from regional failure interrupts business operations and prevents access to critical data,5,2
Malicious insider with elevated privileges breaches confidential data or sabotages systems undetected,4,3
"Ransomware infection spreads quickly across network shares and endpoints, encrypting files and disrupting operations",5,4
"DDoS attack overwhelms internet bandwidth, causing website and application outages",3,4
"Software vulnerability exploited to execute arbitrary code on servers, leading to data theft or service disruption",4,3
"Storage array failure erases virtual machine data, requiring full restoration from backup",5,2
"Unpatched systems compromised by automated exploits, allowing attacker access and control",4,4
Improper firewall rules expose internal systems and data to the public internet,3,2
"Excessive spam and phishing emails saturate mail server, impacting employee productivity",2,4
Weak passwords used on admin accounts allow unauthorized access and privilege escalation,4,3
"Database server runs out of storage, corrupting data and crashing critical applications",5,2
"Network switch failure isolates segment of infrastructure, disrupting connectivity",3,3
Improper data encryption exposes sensitive information if devices are lost/stolen,4,2
"Backup failures go undetected, leaving no restore point for disaster recovery",5,1
Unauthorized wireless access point intercepts network traffic and circumvents security controls,3,2
"Malware or compromised software update affects critical servers, impacting uptime and data integrity",4,3
"Natural disaster destroys data center building and equipment, causing prolonged outage",5,1
Accidental deletion of virtual machine disks or snapshot data causes permanent data loss,4,2
Shared account credentials allow actions to be performed without individual accountability,3,3
Improper access controls on cloud storage exposes confidential data,4,2
Web application vulnerabilities enable data theft or service disruption,4,3
Unauthorized changes to DNS records redirect traffic to malicious servers,4,2
Weak mobile device encryption puts sensitive data at risk if device is lost/stolen,3,3
Improper server configuration exposes vulnerabilities and allows exploitation,4,3
Untested disaster recovery plans fail when actual recovery is needed,5,1
Spear phishing targets key personnel to gain network foothold for deeper intrusion,4,2
Failure to patch software vulnerabilities leaves systems open to exploitation,4,4
Improper access revocation allows former employees continued access after termination,3,2
"Excessive retention of log data fills up storage, impacting performance and availability",2,3
"Improper segregation of duties allows unchecked, harmful actions",3,2
"Inadequate monitoring fails to detect malicious activity, allowing adversaries to operate unnoticed",3,3
Single point of failure in critical infrastructure leads to extended downtime during outage,4,2
Lack of encryption on portable media puts data at risk if devices are lost/stolen,3,3
Improper system hardening leaves unnecessary services running and accessible,3,3
Outdated operating systems no longer receive security patches for new vulnerabilities,4,4
Improper logging configuration prevents auditing and forensic analysis after an incident,2,3
Uncontrolled personal devices introduce malware and vulnerabilities to the corporate network,3,3
Improper network segmentation allows adversaries to expand foothold and access sensitive systems,4,3
Inadequate redundancy in critical infrastructure leads to extended downtime during component failure,4,2
Improper key management exposes encrypted data if keys are lost/stolen,4,1
Lack of multi-factor authentication leaves accounts vulnerable to password attacks,3,4
Improper change management introduces unintended outages and vulnerabilities,3,3
"Extended power outage due to damaged electrical transformers, causing all systems and infrastructure to go offline leading to prolonged downtime",5,4
Cryptolocker malware infection spreads through company network encrypting critical files and databases before backups are completed,5,3
Accidental deletion of production database by junior admin without proper permissions or change control approval,5,2
"Outdated firewalls unable to detect or block newly discovered network intrusion techniques, leaving infrastructure vulnerable",4,3
"Improper hypervisor configuration allowing VMs to consume excessive resources, degrading performance of other production VMs",3,2
Failure of climate control systems in server room leading to overheating of critical hardware components and unexpected outages,4,3
"Misconfigured network gear incorrectly routes traffic, causing connectivity issues and preventing access to business applications",3,4
"Backup corruption from faulty tape drive goes undetected, rendering backups useless in event of data loss",5,1
Unsupported operating systems missing critical security patches on legacy systems being actively exploited by hackers,4,4
Accidental detachment of wrong storage volume crashes production application due to missing database files,5,1
"Network capacity exhausted due to unplanned traffic spikes, causing severe performance issues or complete outage",4,3
Security vulnerability in public-facing web server allows attackers to deface websites and harvest customer data,5,3
"Storage array controller failure brings down SAN, causing production workloads to crash due to loss of storage access",5,2
"Improper termination of fiber cable renders top-of-rack switches inaccessible, preventing server connectivity",4,2
Expiring SSL certificates on critical servers breaks encrypted connections to public services when not renewed,3,4
Failure to patch firmware on load balancers causes intermittent request failures and performance issues,3,3
Lack of multi-factor authentication allows compromised remote access account to breach network perimeter,5,2
"Extended DNS outage prevents name resolution for customer-facing applications, resulting in complete service disruption",5,2
"Improper backup configurations omit critical data from backups, rendering them incomplete and unusable",4,3
Unrestricted outbound Internet access allows malware to exfiltrate sensitive data from compromised endpoint,4,3
Lack of asset inventory and overprovisioned cloud resources accumulate unexpected costs,2,4
"Improper shutdown during OS patch causes corruption of system volume, requiring OS reinstallation",4,2
Failure to renew domain registration causes customer-facing websites and email to stop functioning,4,3
Lack of redundancy for internet links causes total loss of connectivity during ISP outage,5,3
Improper sanitization of decommissioned hardware leaves sensitive data exposed,4,2
Unrestricted lateral movement between security zones enables malware to traverse network boundaries,5,3
Weak access controls on cloud storage buckets enables exposure of confidential data,5,4
Buffer overflow vulnerability in network switch code exploited to gain privileged remote access,5,2
Failure to encrypt laptop leads to breach of customer data in event of theft or loss,5,3
Lack of automated vulnerability scanning and patching allows exploits of known CVEs,4,4
Embedded hardcoded passwords in application source code exposed during security review,2,5
Improper key management exposes encrypted data after departure of employee,4,3
Unapproved cloud servers started by business units introduce vulnerabilities and configuration drift,3,4
Lack of DDoS mitigation allows crippling attack on customer-facing applications,5,3
Insufficient logging and monitoring of privileged access prevents auditing of suspicious activity,3,4
Outdated unsupported operating systems missing critical patches connected to network,4,5
Improper shutdown during firmware upgrade bricks network switches requiring RMA replacement,4,2
Lack of multi-factor authentication on virtualization management allows takeover of hypervisor,5,3
Failure to renew code signing certificate disables software updates and leaves binaries unverifiable,2,5
"Prolonged power outage at primary data center causes extended downtime and inability to failover to DR site due to networking issues, leading to severe business disruption",5,4
"Cyber attack exploits unpatched vulnerability in firewalls, allowing malware to spread quickly across internal network and encrypt sensitive data",5,3
"Storage array experiences multiple disk failures exceeding redundancy, causing data corruption and inability to recover critical databases without backups",4,2
"Accidental deletion of virtual machine by admin during routine maintenance, requiring restore from 12 hour old backups and some data loss",3,2
"DDoS attack saturates internet bandwidth, causing website and customer portal outages and inability to conduct online transactions",4,3
"Improper firewall rule change blocks inbound web traffic, leading to extended downtime until rule is corrected",3,2
"Ransomware infiltrates internal network through phishing email, encrypting file shares before being detected",5,3
"Power fluctuations due to storm damage SAN equipment, causing data corruption that requires restore from backups",4,2
Malicious insider with elevated network privileges exfiltrates sensitive customer data over an extended period,5,1
Air conditioning failure in server room causes overheating shutdown of critical systems during peak business hours,4,3
"Security patch causes database compatibility issues, leading to corruption of transaction records and data loss",4,1
Network switch firmware bug causes intermittent packet loss and connectivity issues for critical applications,3,4
Stolen end user laptop contains unencrypted customer data in breach of compliance regulations,4,2
"Production database server runs out of storage, rejecting transactions until additional capacity is provisioned",3,3
"Misconfigured network ACL accidentally blocks outbound internet access, impairing business operations",2,3
Failed automatic failover to standby database server causes unexpected downtime during maintenance,3,2
Cyber attack through compromised vendor account leads to shutdown of manufacturing systems,5,2
"Malware spreads through company network after users click phishing links, requiring rebuild of infected systems",4,3
"Natural disaster destroys primary data center, forcing failover to under-resourced DR site",5,1
Network capacity shortage degrades performance of business applications to unacceptable levels,3,4
"Hacker exploits vulnerability in customer portal, stealing login credentials and downloading customer data",4,2
Onsite datacenter flood damages critical infrastructure and causes extended outage,5,1
Threat actor hijacks trusted third-party supplier account to infiltrate network and install backdoors,4,2
Cloud provider outage takes down web servers and disables applications,3,3
Expired TLS certificate causes customer-facing websites to go offline until certificate is renewed,2,4
Undetected hardware failure corrupts database files before recent backups are available,4,1
Cyber attack through compromised VPN account spreads ransomware across the internal network,5,2
Failure to patch operating systems and software leads to exploit of vulnerabilities,4,3
Insufficient identity and access controls allow unauthorized access to sensitive data,4,3
Lack of encryption on stolen laptop exposes customer data in breach of regulations,3,2
"Improper firewall change blocks internal access to business applications, impairing operations",3,3
Outdated backup software fails to perform restore of critical data in timely manner,4,2
Web application vulnerable to SQL injection allows data theft and fraudulent transactions,5,3
Inadequate capacity planning causes performance issues during unexpected traffic spike,3,4
Failure to renew domain registration takes customer-facing website offline,3,1
"Uncontrolled growth of log files fills up disk storage, crashing critical applications",4,3
Shared account credentials allows malicious insider to access systems and destroy data,5,1
Improper data deletion leaves sensitive customer information exposed on old hard drives,4,2
Failure to encrypt removable media leads to loss of sensitive data if devices are stolen,4,3
Insufficient logging and monitoring allows breaches to go undetected over long periods,5,2
Improper access controls enable unauthorized changes to production systems,4,3
"Outdated operating systems no longer receive security patches, vulnerable to exploits",4,4
Lack of redundancy for critical infrastructure leads to extended downtime during failure,4,3
"Extended power outage at primary data center causes all systems and infrastructure to go offline, leading to prolonged downtime and inability to provide services",5,4
"Accidental deletion of critical database by admin without proper backups, resulting in permanent data loss and disruption to business operations",5,2
Security vulnerability in web server software exploited by hackers to inject malware and steal customer data,4,3
"Failure of core network switch causes subnet outage, disrupting connectivity for multiple critical servers and delaying operations",3,4
"Improper firewall ruleset allows malware to spread between internal systems, leading to infected endpoints and potential data exfiltration",4,2
"DDoS attack overwhelms internet bandwidth, taking public-facing websites and applications offline and preventing access for users",3,3
Misconfigured ACL results in unauthorized access to sensitive financial data stored on a database server,5,1
"Hacker gains access to weakly secured cloud storage and deletes backup archives, making recovery impossible",4,2
Ransomware infiltrates internal systems via phishing email and encrypts mission critical file shares before spreading throughout the network,5,3
"Physical damage to data center from fire or flooding destroys servers and infrastructure, leading to prolonged outages",5,1
"Bug in critical line-of-business application causes corruption of transaction data, requiring rollback and data restoration from backup",4,2
"Failure of HVAC system in server room causes overheating, leading to equipment failure and unplanned downtime",3,3
"Storage array reaches maximum capacity, taking core applications offline and preventing access to business data",4,4
"Compromised vendor credentials used to gain access to managed firewalls, allowing malicious traffic to bypass security controls",5,2
Improper sanitization of retired hard drives results in unauthorized exposure of sensitive customer data,4,1
"Expired TLS certificate causes customer-facing websites to display security warnings, impacting user experience and trust",2,4
"Malicious insider with elevated network privileges destroys key configuration and data files, causing operational delays",3,1
"Unpatched vulnerability in server operating system allows remote code execution, enabling malware delivery and persistence",4,3
"Failure of critical network infrastructure during software update renders core systems unreachable, disrupting operations",3,2
"Natural disaster destroys primary and backup data centers, resulting in catastrophic data loss and inability to provide services",5,1
"Massive botnet DDoS attack overwhelms mitigation appliances, causing multi-day outage of customer-facing web properties",4,2
"Accidental misconfiguration of core router blocks all external network traffic, causing widespread connectivity issues",3,3
Expired domain registration leads to DNS failure and inability to resolve application and website domains,2,4
"Targeted cyber attack destroys backups and encrypts all data on file shares and databases, bringing operations to a halt",5,1
Improper data deletion procedures on decommissioned hardware leaves sensitive customer information exposed,4,2
Failure of critical HVAC components during heat wave causes server room overheating and hardware failures,3,3
Breach of cloud provider exposes backups and virtual machine disks stored in public buckets without access controls,4,1
Outdated and vulnerable operating systems and software used across critical servers and applications,3,4
Lack of redundancy for core network components causes single point of failure during switch failure,4,3
Improper firewall rules allow malicious traffic from public network to access private application servers,3,2
Weak perimeter security and lack of segmentation enables lateral movement after initial breach,4,3
No encryption on virtual machine data at rest in cloud infrastructure leads to exposure of sensitive data,3,1
Improper key management exposes encrypted data backups due to loss of keys for decryption,4,1
"Uncontrolled BYOD devices introduce malware inside network perimeter, bypassing endpoint controls",3,2
Improper access governance allows excessive permissions for non-admin users on critical systems,2,3
Lack of visibility into east-west traffic enables malware to propagate between endpoints within network,3,4
"Outdated intrusion detection system misses new attack techniques, enabling persistent threat presence in the environment",3,3
Weak password policies allow brute force credential attacks and takeover of admin accounts,4,2
No encryption applied to sensitive data in motion allows eavesdropping of traffic within internal network,3,1
"Extended website outage due to DDoS attack saturating network capacity, causing revenue loss and reputation damage",5,4
Data leakage through unpatched vulnerability in customer database allowing SQL injection attack,4,3
Prolonged email system downtime from hardware failure of mail server without redundancy,3,2
Loss of access to core business systems because of expired TLS certificates not auto-renewed,4,2
Breach of customer PII due to misconfigured S3 bucket allowing public access to sensitive files,5,4
Ransomware infection disabling file servers through compromised VPN account credentials,5,5
Prolonged outage of ERP platform from facilities electrical failure with inadequate UPS backup,4,3
Loss of recent financial data from corruption of accounting system database lacking adequate backups,4,2
Inability to process customer orders from overload failure of ecommerce platform during peak traffic,3,4
Denial of service attack successfully disables customer portal and API services,4,3
Mass user lockout from propagation of corrupted Active Directory database across domain,5,2
Prolonged downtime of core databases from catastrophic disk failure in underprovisioned SAN,5,3
Loss of application data from cryptolocker attack through phishing email,4,4
Breach of HIPAA-protected data stored unencrypted on compromised developer workstation,5,3
Loss of sensitive IP after attack pivots from initial phishing compromise to source code repositories,4,2
Website defacement due to unauthorized access through unpatched content management system,3,4
Loss of customer data from failure of inadequate backups to successfully restore corrupted database,4,3
Denial of service condition from network saturation during DNS amplification attack,5,3
Loss of customer trust and revenue from spoofing of official company emails and communications,3,2
Prolonged downtime after catastrophic data center electrical failure destroys critical infrastructure,5,2
Destructive malware spread through local network shares disables hundreds of end user systems,4,3
Loss of critical customer data from corrupted ERP database lacking usable backups,5,1
Breach of customer PII data after compromise of inadequately hardened cloud storage,4,3
Unexpected billing increase from cryptomining malware infection of cloud compute resources,3,4
Loss of intellectual property after exploit of vulnerable development infrastructure,4,2
Extended outage of core systems from ransomware attack through compromised accounting department,5,3
Loss of customer transaction records from inadequate data backup and untested restoration,3,2
Breach of healthcare data after successful phishing attack on accounts payable staff,4,4
Unexpected public data exposure from misconfigured internal database security rules,3,3
Loss of new product launch collateral from destructive malware attack on marketing team files,2,3
Loss of customer trust after payment system breach leaks credit card details,5,3
Unexpected increase in hosting costs from compromised account creating rogue cloud resources,3,4
Loss of critical application data from SAN failure without adequate resilience provisions,4,2
Breach of customer data after successful password spray attack on VPN concentrator,4,3
Loss of core business capability from ransomware encrypting key databases and fileservers,5,4
Website downtime from DDoS attack saturating Internet bandwidth,3,4
Loss of customer data after misconfigured firewall exposes databases to the Internet,4,1
Extended outage after air conditioning failure in insufficiently cooled server room,3,2
Loss of revenue from payment system downtime during peak shopping period,4,3
Prolonged downtime after fire destroys primary data center with inadequate DR provisions,5,1
Loss of customer trust after data exposure from misconfigured cloud storage permissions,4,2
Unexpected increase in infrastructure costs from compromised account creating unused resources,2,4
Loss of intellectual property after insider attack exfiltrates source code repositories,4,1
Prolonged downtime of business systems from domain controller failure with inadequate redundancy,3,2
Loss of recent transaction data from corruption of financial database without resilience,4,1
